city,latlon
Geleen (Netherlands),"('50.96666667000000217058186535723507404327392578125', '5.8333333300000003163177098031155765056610107421875')"
"Prattville (USA, AL)","('32.46223499999999972942532622255384922027587890625', '-86.461263999999999896317603997886180877685546875')"
Odense (Denmark),"('55.3958333300000020926745492033660411834716796875', '10.38861110999999937121174298226833343505859375')"
Nepean (Canada),"('45.34170000000000300133251585066318511962890625', '-75.7583000000000055251803132705390453338623046875')"
Oxford (United Kingdom),"('51.7519444400000026007546694017946720123291015625', '-1.257777780000000067417431637295521795749664306640625')"
Ishikawa (Japan),"('36.633333329999999250503606162965297698974609375', '136.650000000000005684341886080801486968994140625')"
Hoogezand (Netherlands),"('53.1666666699999979073254507966339588165283203125', '6.76666667000000021658934201695956289768218994140625')"
West Vancouver (Canada),"('49.366666670000000749496393837034702301025390625', '-123.1666666699999979073254507966339588165283203125')"
Kidlington (United Kingdom),"('51.82300000000000039790393202565610408782958984375', '-1.290999999999999925393012745189480483531951904296875')"
Rathdowney (Ireland),"('52.855400000000003046807250939309597015380859375', '-7.58480000000000043058889787062071263790130615234375')"
Levis (Canada),"('46.7999999999999971578290569595992565155029296875', '-71.1833333299999964083326631225645542144775390625')"
Matsuyama (Japan),"('33.8333333300000020926745492033660411834716796875', '132.76666667000000643383827991783618927001953125')"
Drogheda (Ireland),"('53.71399999999999863575794734060764312744140625', '-6.3499999999999996447286321199499070644378662109375')"
Guglingen (Germany),"('49.06666666999999648623997927643358707427978515625', '9')"
Yangsan (Korea (South)),"('35.3333333300000020926745492033660411834716796875', '129.03333333000000493484549224376678466796875')"
"Jeffersonville (USA, IN)","('38.295555559999996830811141990125179290771484375', '-85.73138889000000517626176588237285614013671875')"
Loosdrecht (Netherlands),"('52.21666667000000217058186535723507404327392578125', '5.066666670000000038953658076934516429901123046875')"
"Stony Brook (USA, NY)","('40.9063888900000023340908228419721126556396484375', '-73.128333330000003797977115027606487274169921875')"
Noisy-le-Roi (France),"('48.84689999999999798774297232739627361297607421875', '2.060799999999999965183405947755090892314910888671875')"
Verona (Italy),"('45.43333333000000351376002072356641292572021484375', '10.98333333000000067158907768316566944122314453125')"
"Franconia (USA, NH)","('44.2272222200000015845944290049374103546142578125', '-71.7483333299999941345959086902439594268798828125')"
Zoeterwoude (Netherlands),"('52.133333329999999250503606162965297698974609375', '4.5')"
Balgowlah (Australia),"('-33.79645000000000010231815394945442676544189453125', '151.258540000000010650182957760989665985107421875')"
Wurenlingen (Switzerland),"('47.53333332999999782941813464276492595672607421875', '8.26666666999999932841092231683433055877685546875')"
Lisbon (Portugal),"('38.71388888999999977613697410561144351959228515625', '-9.1394444400000001138550942414440214633941650390625')"
Le Bourget (France),"('48.96944443999999663219568901695311069488525390625', '2.44138888999999981166411089361645281314849853515625')"
Kasaoka (Japan),"('34.5038888899999989234856911934912204742431640625', '133.509999999999990905052982270717620849609375')"
Thonon-les-Bains (France),"('46.36269999999999669171302230097353458404541015625', '6.4749999999999996447286321199499070644378662109375')"
Gerolzhofen (Germany),"('49.89999999999999857891452847979962825775146484375', '10.3499999999999996447286321199499070644378662109375')"
Vergeze (France),"('43.74419999999999930651028989814221858978271484375', '4.22079999999999966320274324971251189708709716796875')"
Sheffield (United Kingdom),"('53.383333329999999250503606162965297698974609375', '-1.466666669999999950135816106921993196010589599609375')"
Fukuchiyama (Japan),"('35.2999999999999971578290569595992565155029296875', '135.133333329999999250503606162965297698974609375')"
